id,product,campaign_type,campaign,channel,date,conversions
148,product a,always on,always on,dv360 - prospecting,2020-05-27,2110.093396
149,product a,always on,always on,dv360 - prospecting,2020-05-28,2057.220289
150,product a,always on,always on,dv360 - prospecting,2020-05-29,2124.169128
151,product a,always on,always on,dv360 - prospecting,2020-05-30,2307.551355
152,product a,always on,always on,dv360 - prospecting,2020-05-31,2189.572064
153,product a,always on,always on,dv360 - prospecting,2020-06-01,3919.548582
154,product a,always on,always on,dv360 - prospecting,2020-06-02,2200.952899
155,product a,always on,always on,dv360 - prospecting,2020-06-03,2114.49871
156,product a,always on,always on,dv360 - prospecting,2020-06-04,2263.678213
157,product a,always on,always on,dv360 - prospecting,2020-06-05,2345.208668
158,product a,always on,always on,dv360 - prospecting,2020-06-06,2045.396838
159,product a,always on,always on,dv360 - prospecting,2020-06-07,2051.773987
160,product a,always on,always on,dv360 - prospecting,2020-06-08,4023.823527
161,product a,always on,always on,dv360 - prospecting,2020-06-09,2235.746888
162,product a,always on,always on,dv360 - prospecting,2020-06-10,2287.928328
163,product a,always on,always on,dv360 - prospecting,2020-06-11,2100.621014
164,product a,always on,always on,dv360 - prospecting,2020-06-12,2270.947291
165,product a,always on,always on,dv360 - prospecting,2020-06-13,2298.647328
166,product a,always on,always on,dv360 - prospecting,2020-06-14,2250.597409
167,product a,always on,always on,dv360 - prospecting,2020-06-15,4061.04949
168,product a,always on,always on,dv360 - prospecting,2020-06-16,2287.835516
169,product a,always on,always on,dv360 - prospecting,2020-06-17,2234.98067
170,product a,always on,always on,dv360 - prospecting,2020-06-18,2238.952999
171,product a,always on,always on,dv360 - prospecting,2020-06-19,2214.339061
172,product a,always on,always on,dv360 - prospecting,2020-06-20,2116.027761
173,product a,always on,always on,dv360 - prospecting,2020-06-21,2242.799957
174,product a,always on,always on,dv360 - prospecting,2020-06-22,4022.339592
175,product a,always on,always on,dv360 - prospecting,2020-06-23,2310.068496
176,product a,always on,always on,dv360 - prospecting,2020-06-24,2294.393172
177,product a,always on,always on,dv360 - prospecting,2020-06-25,2107.163598
178,product a,always on,always on,dv360 - prospecting,2020-06-26,2345.410946
179,product a,always on,always on,dv360 - prospecting,2020-06-27,2242.670022
180,product a,always on,always on,dv360 - prospecting,2020-06-28,2153.216677
181,product a,always on,always on,dv360 - prospecting,2020-06-29,3865.004738
182,product a,always on,always on,dv360 - prospecting,2020-06-30,1972.478676
183,product a,always on,always on,dv360 - prospecting,2020-07-01,2039.99127
184,product a,always on,always on,dv360 - prospecting,2020-07-02,2278.863804
185,product a,always on,always on,dv360 - prospecting,2020-07-03,1960.315996
186,product a,always on,always on,dv360 - prospecting,2020-07-04,2108.292395
187,product a,always on,always on,dv360 - prospecting,2020-07-05,2180.294793
188,product a,always on,always on,dv360 - prospecting,2020-07-06,4131.568051
189,product a,always on,always on,dv360 - prospecting,2020-07-07,2140.371511
190,product a,always on,always on,dv360 - prospecting,2020-07-08,2153.698048
191,product a,always on,always on,dv360 - prospecting,2020-07-09,2230.112547
192,product a,always on,always on,dv360 - prospecting,2020-07-10,2045.081133
193,product a,always on,always on,dv360 - prospecting,2020-07-11,2111.871598
194,product a,always on,always on,dv360 - prospecting,2020-07-12,2119.52502
195,product a,always on,always on,dv360 - prospecting,2020-07-13,4076.723384
196,product a,always on,always on,dv360 - prospecting,2020-07-14,2077.049288
197,product a,always on,always on,dv360 - prospecting,2020-07-15,2022.130673
198,product a,always on,always on,dv360 - prospecting,2020-07-16,2021.369134
199,product a,always on,always on,dv360 - prospecting,2020-07-17,2133.106029
200,product a,always on,always on,dv360 - prospecting,2020-07-18,2153.422494
201,product a,always on,always on,dv360 - prospecting,2020-07-19,2246.845408
202,product a,always on,always on,dv360 - prospecting,2020-07-20,4200.886886
203,product a,always on,always on,dv360 - prospecting,2020-07-21,2107.422475
204,product a,always on,always on,dv360 - prospecting,2020-07-22,2347.326193
205,product a,always on,always on,dv360 - prospecting,2020-07-23,2197.153406
206,product a,always on,always on,dv360 - prospecting,2020-07-24,2124.26977
207,product a,always on,always on,dv360 - prospecting,2020-07-25,2172.023828
208,product a,always on,always on,dv360 - prospecting,2020-07-26,2261.378655
209,product a,always on,always on,dv360 - prospecting,2020-07-27,4117.096592
210,product a,always on,always on,dv360 - prospecting,2020-07-28,2190.335301
211,product a,always on,always on,dv360 - prospecting,2020-07-29,2070.424348
212,product a,always on,always on,dv360 - prospecting,2020-07-30,2391.054466
213,product a,always on,always on,dv360 - prospecting,2020-07-31,2120.365488
214,product a,always on,always on,dv360 - prospecting,2020-08-01,2275.299101
215,product a,always on,always on,dv360 - prospecting,2020-08-02,2161.57104
216,product a,always on,always on,dv360 - prospecting,2020-08-03,4088.809685
217,product a,always on,always on,dv360 - prospecting,2020-08-04,2185.903198
218,product a,always on,always on,dv360 - prospecting,2020-08-05,1979.177094
219,product a,always on,always on,dv360 - prospecting,2020-08-06,2046.922097
220,product a,always on,always on,dv360 - prospecting,2020-08-07,2168.709739
221,product a,always on,always on,dv360 - prospecting,2020-08-08,2376.016546
222,product a,always on,always on,dv360 - prospecting,2020-08-09,2313.397841
223,product a,always on,always on,dv360 - prospecting,2020-08-10,4144.613047
224,product a,always on,always on,dv360 - prospecting,2020-08-11,2059.369215
225,product a,always on,always on,dv360 - prospecting,2020-08-12,2118.938391
226,product a,always on,always on,dv360 - prospecting,2020-08-13,2219.74257
227,product a,always on,always on,dv360 - prospecting,2020-08-14,2118.670238
228,product a,always on,always on,dv360 - prospecting,2020-08-15,2188.155319
229,product a,always on,always on,dv360 - prospecting,2020-08-16,2246.383723
230,product a,always on,always on,dv360 - prospecting,2020-08-17,4128.946623
231,product a,always on,always on,dv360 - prospecting,2020-08-18,2164.966144
232,product a,always on,always on,dv360 - prospecting,2020-08-19,2226.581915
233,product a,always on,always on,dv360 - prospecting,2020-08-20,2052.401449
234,product a,always on,always on,dv360 - prospecting,2020-08-21,2196.568788
235,product a,always on,always on,dv360 - prospecting,2020-08-22,1992.629941
236,product a,always on,always on,dv360 - prospecting,2020-08-23,2235.825472
237,product a,always on,always on,dv360 - prospecting,2020-08-24,4010.739679
238,product a,always on,always on,dv360 - prospecting,2020-08-25,2249.516576
239,product a,always on,always on,dv360 - prospecting,2020-08-26,2156.190573
240,product a,always on,always on,dv360 - prospecting,2020-08-27,2180.693336
241,product a,always on,always on,dv360 - prospecting,2020-08-28,2279.655138
242,product a,always on,always on,dv360 - prospecting,2020-08-29,2245.005041
243,product a,always on,always on,dv360 - prospecting,2020-08-30,2153.723688
244,product a,always on,always on,dv360 - prospecting,2020-08-31,4047.939892
245,product a,always on,always on,dv360 - prospecting,2020-09-01,2183.285771
246,product a,always on,always on,dv360 - prospecting,2020-09-02,2123.31308
247,product a,always on,always on,dv360 - prospecting,2020-09-03,2048.390261
248,product a,always on,always on,dv360 - prospecting,2020-09-04,2173.120849
249,product a,always on,always on,dv360 - prospecting,2020-09-05,2098.353701
250,product a,always on,always on,dv360 - prospecting,2020-09-06,2107.554699
251,product a,always on,always on,dv360 - prospecting,2020-09-07,4066.060288
252,product a,always on,always on,dv360 - prospecting,2020-09-08,1985.062656
253,product a,always on,always on,dv360 - prospecting,2020-09-09,2138.116595
254,product a,always on,always on,dv360 - prospecting,2020-09-10,2152.569304
255,product a,always on,always on,dv360 - prospecting,2020-09-11,2118.922818
256,product a,always on,always on,dv360 - prospecting,2020-09-12,2233.605207
257,product a,always on,always on,dv360 - prospecting,2020-09-13,2268.161064
258,product a,always on,always on,dv360 - prospecting,2020-09-14,4094.6267
259,product a,always on,always on,dv360 - prospecting,2020-09-15,2234.843148
260,product a,always on,always on,dv360 - prospecting,2020-09-16,2246.875698
261,product a,always on,always on,dv360 - prospecting,2020-09-17,2329.790157
262,product a,always on,always on,dv360 - prospecting,2020-09-18,2138.302112
263,product a,always on,always on,dv360 - prospecting,2020-09-19,2060.707893
264,product a,always on,always on,dv360 - prospecting,2020-09-20,2352.726381
265,product a,always on,always on,dv360 - prospecting,2020-09-21,3890.189994
266,product a,always on,always on,dv360 - prospecting,2020-09-22,1915.092406
267,product a,always on,always on,dv360 - prospecting,2020-09-23,2098.085737
268,product a,always on,always on,dv360 - prospecting,2020-09-24,2149.099735
269,product a,always on,always on,dv360 - prospecting,2020-09-25,2355.547974
270,product a,always on,always on,dv360 - prospecting,2020-09-26,2187.406011
271,product a,always on,always on,dv360 - prospecting,2020-09-27,2081.951171
272,product a,always on,always on,dv360 - prospecting,2020-09-28,3951.592622
273,product a,always on,always on,dv360 - prospecting,2020-09-29,2162.755911
274,product a,always on,always on,dv360 - prospecting,2020-09-30,2158.847636
275,product a,always on,always on,dv360 - prospecting,2020-10-01,2187.533462
276,product a,always on,always on,dv360 - prospecting,2020-10-02,2131.900234
277,product a,always on,always on,dv360 - prospecting,2020-10-03,2403.026504
278,product a,always on,always on,dv360 - prospecting,2020-10-04,2216.915364
279,product a,always on,always on,dv360 - prospecting,2020-10-05,3933.569629
280,product a,always on,always on,dv360 - prospecting,2020-10-06,2031.142546
281,product a,always on,always on,dv360 - prospecting,2020-10-07,2207.06763
282,product a,always on,always on,dv360 - prospecting,2020-10-08,2158.09061
283,product a,always on,always on,dv360 - prospecting,2020-10-09,2106.097675
284,product a,always on,always on,dv360 - prospecting,2020-10-10,2046.158573
285,product a,always on,always on,dv360 - prospecting,2020-10-11,2130.391917
286,product a,always on,always on,dv360 - prospecting,2020-10-12,4194.640437
287,product a,always on,always on,dv360 - prospecting,2020-10-13,2062.189995
288,product a,always on,always on,dv360 - prospecting,2020-10-14,2189.769055
289,product a,always on,always on,dv360 - prospecting,2020-10-15,2200.226075
290,product a,always on,always on,dv360 - prospecting,2020-10-16,2142.043375
291,product a,always on,always on,dv360 - prospecting,2020-10-17,2043.739161
292,product a,always on,always on,dv360 - prospecting,2020-10-18,2140.319268
293,product a,always on,always on,dv360 - prospecting,2020-10-19,4189.298795
294,product a,always on,always on,dv360 - prospecting,2020-10-20,2166.815299
295,product a,always on,always on,dv360 - prospecting,2020-10-21,2311.714206
296,product a,always on,always on,dv360 - prospecting,2020-10-22,2132.529871
297,product a,always on,always on,dv360 - prospecting,2020-10-23,2208.776514
298,product a,always on,always on,dv360 - prospecting,2020-10-24,2301.270874
299,product a,always on,always on,dv360 - prospecting,2020-10-25,2288.260525
300,product a,always on,always on,dv360 - prospecting,2020-10-26,4159.155824
301,product a,always on,always on,dv360 - prospecting,2020-10-27,2192.221353
302,product a,always on,always on,dv360 - prospecting,2020-10-28,2137.878399
303,product a,always on,always on,dv360 - prospecting,2020-10-29,2116.706477
304,product a,always on,always on,dv360 - prospecting,2020-10-30,2090.734529
305,product a,always on,always on,dv360 - prospecting,2020-10-31,2168.256449
306,product a,always on,always on,dv360 - prospecting,2020-11-01,2198.267021
307,product a,always on,always on,dv360 - prospecting,2020-11-02,3926.364349
308,product a,always on,always on,dv360 - prospecting,2020-11-03,2130.798732
309,product a,always on,always on,dv360 - prospecting,2020-11-04,2049.513985
310,product a,always on,always on,dv360 - prospecting,2020-11-05,2152.703725
311,product a,always on,always on,dv360 - prospecting,2020-11-06,2196.23848
312,product a,always on,always on,dv360 - prospecting,2020-11-07,2193.829429
313,product a,always on,always on,dv360 - prospecting,2020-11-08,2082.178074
314,product a,always on,always on,dv360 - prospecting,2020-11-09,3862.124568
315,product a,always on,always on,dv360 - prospecting,2020-11-10,2222.477444
316,product a,always on,always on,dv360 - prospecting,2020-11-11,1999.456445
317,product a,always on,always on,dv360 - prospecting,2020-11-12,2195.774097
318,product a,always on,always on,dv360 - prospecting,2020-11-13,2102.154698
319,product a,always on,always on,dv360 - prospecting,2020-11-14,2161.694912
320,product a,always on,always on,dv360 - prospecting,2020-11-15,2147.064398
321,product a,always on,always on,dv360 - prospecting,2020-11-16,3977.921023
322,product a,always on,always on,dv360 - prospecting,2020-11-17,2234.940043
323,product a,always on,always on,dv360 - prospecting,2020-11-18,2324.580284
324,product a,always on,always on,dv360 - prospecting,2020-11-19,1987.946429
325,product a,always on,always on,dv360 - prospecting,2020-11-20,2272.23083
326,product a,always on,always on,dv360 - prospecting,2020-11-21,2228.175431
327,product a,always on,always on,dv360 - prospecting,2020-11-22,2282.062755
328,product a,always on,always on,dv360 - prospecting,2020-11-23,4150.474351
329,product a,always on,always on,dv360 - prospecting,2020-11-24,2218.009434
330,product a,always on,always on,dv360 - prospecting,2020-11-25,2145.457517
331,product a,always on,always on,dv360 - prospecting,2020-11-26,2171.200585
332,product a,always on,always on,dv360 - prospecting,2020-11-27,2215.696841
333,product a,always on,always on,dv360 - prospecting,2020-11-28,2153.198917
334,product a,always on,always on,dv360 - prospecting,2020-11-29,2132.855386
335,product a,always on,always on,dv360 - prospecting,2020-11-30,4046.346947
336,product a,always on,always on,dv360 - prospecting,2020-12-01,2183.946749
337,product a,always on,always on,dv360 - prospecting,2020-12-02,2080.845107
338,product a,always on,always on,dv360 - prospecting,2020-12-03,2137.868454
339,product a,always on,always on,dv360 - prospecting,2020-12-04,2218.526506
340,product a,always on,always on,dv360 - prospecting,2020-12-05,2226.348163
341,product a,always on,always on,dv360 - prospecting,2020-12-06,2208.013361
342,product a,always on,always on,dv360 - prospecting,2020-12-07,4012.69875
343,product a,always on,always on,dv360 - prospecting,2020-12-08,2119.866603
344,product a,always on,always on,dv360 - prospecting,2020-12-09,2048.310472
345,product a,always on,always on,dv360 - prospecting,2020-12-10,2096.371893
346,product a,always on,always on,dv360 - prospecting,2020-12-11,2284.207329
347,product a,always on,always on,dv360 - prospecting,2020-12-12,2181.72304
348,product a,always on,always on,dv360 - prospecting,2020-12-13,2104.230256
349,product a,always on,always on,dv360 - prospecting,2020-12-14,4158.461824
350,product a,always on,always on,dv360 - prospecting,2020-12-15,2134.792258
351,product a,always on,always on,dv360 - prospecting,2020-12-16,2034.325579
352,product a,always on,always on,dv360 - prospecting,2020-12-17,2156.632525
353,product a,always on,always on,dv360 - prospecting,2020-12-18,2225.079059
354,product a,always on,always on,dv360 - prospecting,2020-12-19,2265.423589
355,product a,always on,always on,dv360 - prospecting,2020-12-20,2118.423522
356,product a,always on,always on,dv360 - prospecting,2020-12-21,3994.642721
357,product a,always on,always on,dv360 - prospecting,2020-12-22,2139.367127
358,product a,always on,always on,dv360 - prospecting,2020-12-23,2265.032001
359,product a,always on,always on,dv360 - prospecting,2020-12-24,2064.705355
360,product a,always on,always on,dv360 - prospecting,2020-12-25,2342.916571
361,product a,always on,always on,dv360 - prospecting,2020-12-26,2341.282993
362,product a,always on,always on,dv360 - prospecting,2020-12-27,2285.32711
363,product a,always on,always on,dv360 - prospecting,2020-12-28,4219.148783
364,product a,always on,always on,dv360 - prospecting,2020-12-29,2220.622035
365,product a,always on,always on,dv360 - prospecting,2020-12-30,2328.395256
366,product a,always on,always on,dv360 - prospecting,2020-12-31,2164.238685
367,product a,always on,always on,dv360 - prospecting,2021-01-01,2024.008953
368,product a,always on,always on,dv360 - prospecting,2021-01-02,2248.392879
369,product a,always on,always on,dv360 - prospecting,2021-01-03,1885.659333
370,product a,always on,always on,dv360 - prospecting,2021-01-04,4048.096092
371,product a,always on,always on,dv360 - prospecting,2021-01-05,2254.897421
372,product a,always on,always on,dv360 - prospecting,2021-01-06,2126.545306
373,product a,always on,always on,dv360 - prospecting,2021-01-07,2149.483834
374,product a,always on,always on,dv360 - prospecting,2021-01-08,2139.044496
375,product a,always on,always on,dv360 - prospecting,2021-01-09,2234.175974
376,product a,always on,always on,dv360 - prospecting,2021-01-10,2322.440554
377,product a,always on,always on,dv360 - prospecting,2021-01-11,4005.377095
378,product a,always on,always on,dv360 - prospecting,2021-01-12,2241.031341
379,product a,always on,always on,dv360 - prospecting,2021-01-13,2310.517574
380,product a,always on,always on,dv360 - prospecting,2021-01-14,2228.474561
381,product a,always on,always on,dv360 - prospecting,2021-01-15,2144.30054
382,product a,always on,always on,dv360 - prospecting,2021-01-16,2061.273869
383,product a,always on,always on,dv360 - prospecting,2021-01-17,2352.264716
384,product a,always on,always on,dv360 - prospecting,2021-01-18,4211.520735
385,product a,always on,always on,dv360 - prospecting,2021-01-19,2197.990781
386,product a,always on,always on,dv360 - prospecting,2021-01-20,2051.080291
387,product a,always on,always on,dv360 - prospecting,2021-01-21,2225.480598
388,product a,always on,always on,dv360 - prospecting,2021-01-22,2099.647325
389,product a,always on,always on,dv360 - prospecting,2021-01-23,2131.431024
390,product a,always on,always on,dv360 - prospecting,2021-01-24,2180.646201
391,product a,always on,always on,dv360 - prospecting,2021-01-25,4061.948667
392,product a,always on,always on,dv360 - prospecting,2021-01-26,2247.726749
393,product a,always on,always on,dv360 - prospecting,2021-01-27,2195.70454
394,product a,always on,always on,dv360 - prospecting,2021-01-28,2118.691055
395,product a,always on,always on,dv360 - prospecting,2021-01-29,2018.231404
396,product a,always on,always on,dv360 - prospecting,2021-01-30,2025.840613
397,product a,always on,always on,dv360 - prospecting,2021-01-31,2245.529459
398,product a,always on,always on,dv360 - prospecting,2021-02-01,3971.452579
399,product a,always on,always on,dv360 - prospecting,2021-02-02,2237.773864
400,product a,always on,always on,dv360 - prospecting,2021-02-03,1897.622524
401,product a,always on,always on,dv360 - prospecting,2021-02-04,2269.687993
402,product a,always on,always on,dv360 - prospecting,2021-02-05,2229.741452
403,product a,always on,always on,dv360 - prospecting,2021-02-06,2130.318254
404,product a,always on,always on,dv360 - prospecting,2021-02-07,2215.846161
405,product a,always on,always on,dv360 - prospecting,2021-02-08,4066.310944
406,product a,always on,always on,dv360 - prospecting,2021-02-09,2132.995111
407,product a,always on,always on,dv360 - prospecting,2021-02-10,2138.097921
408,product a,always on,always on,dv360 - prospecting,2021-02-11,2076.872131
409,product a,always on,always on,dv360 - prospecting,2021-02-12,2028.245437
410,product a,always on,always on,dv360 - prospecting,2021-02-13,2099.394025
